text;class
pas cher du tout éco;éco
très bon marché ;éco
très peu cher ;éco
bas de gamme ;éco
moins de dix euros ;éco
vraiment pas cher;éco
modique ;éco
moins de quinze ;éco
éco;éco
économique ;éco
pas cher ;éco
bon marché ;éco
peu onéreux ;éco
moins de vingt euros ;éco
un self ;éco
avantageux ;éco
je ne suis pas très riche ;éco
pour toutes les bourses éco;éco
moyen de gamme;moyen
moins de trente euros ;moyen
pas un trois étoiles ;moyen
bon rapport qualité prix ;moyen
peu importe le prix ;moyen
ni cher ni pas cher ;moyen
y'a pas de pb;cher
aucun problème d'argent;cher
plutôt cher;cher
je suis riche ;cher
ma bourse est pleine ;cher
standing ;cher
super standing ;cher
un truc chicos ;cher
luxe ;cher
luxueux ;cher
un resto pour le gratin ;cher
je m’en fous ;cher
je m’en fiche ;cher
c’est pas un problème ;cher
cher ;cher
moins de cent euros par personne ;cher
gastronomique ;cher
haut de gamme ;cher
plus de vingt ;cher
un plat à vingt ;cher
j’ai les moyens ;cher
un qui soit dans le michelin ;cher
un bon repas ;cher
un très bon ;cher
moins de 100;cher
moins de 80;cher
moins de cinquante ;cher
moins de 50;cher
